10 //Total number of Ge cuts to make
//Ge number(0-6),centroid, sigma
0, 89, 1.5
1, 89, 1.5
0, 199.2, 1.5
1, 199.2, 1.5
0, 296.5, 1.5
1, 296.5, 1.5
0, 380.4, 1.5
1, 380.4, 1.5
0, 451, 1.5
1, 451, 1.5
