96 //Total number of SiLi cuts to make
SiLi number(0-6),centroid, sigma
0,59,4
1,59,4
2,59,4
3,59,4
4,59,4
5,59,4
0,236,4
1,236,4
2,236,4
3,236,4
4,236,4
5,236,4
0,306,4
1,306,4
2,306,4
3,306,4
4,306,4
5,306,4
0,909,4
1,909,4
2,909,4
3,909,4
4,909,4
5,909,4
0,918,4
1,918,4
2,918,4
3,918,4
4,918,4
5,918,4
0,937,4
1,937,4
2,937,4
3,937,4
4,937,4
5,937,4
0,959,4
1,959,4
2,959,4
3,959,4
4,959,4
5,959,4
0,988,4
1,988,4
2,988,4
3,988,4
4,988,4
5,988,4
0,1016,4
1,1016,4
2,1016,4
3,1016,4
4,1016,4
5,1016,4
0,1105,4
1,1105,4
2,1105,4
3,1105,4
4,1105,4
5,1105,4
0,1170,4
1,1170,4
2,1170,4
3,1170,4
4,1170,4
5,1170,4
0,1199,4
1,1199,4
2,1199,4
3,1199,4
4,1199,4
5,1199,4
0,1233,4
1,1233,4
2,1233,4
3,1233,4
4,1233,4
5,1233,4
0,1283,4
1,1283,4
2,1283,4
3,1283,4
4,1283,4
5,1283,4
0,1554,4
1,1554,4
2,1554,4
3,1554,4
4,1554,4
5,1554,4
0,1680,4
1,1680,4
2,1680,4
3,1680,4
4,1680,4
5,1680,4
