28 //Total number of Ge cuts to make
//Ge number(0-6),centroid, sigma
0,557,1.5
1,557,1.5
0,1059,1.5
1,1059,1.5
0,692,1.5
1,692,1.5
0,873,1.5
1,873,1.5
0,444.5,1.5
1,444.5,1.5
0,625.3,1.5
1,625.3,1.5
0,1047.1,1.5
1,1047.1,1.5
0,924.5,1.5
1,924.5,1.5
0,1140.7,1.5
1,1140.7,1.5
0,676.6,1.5
1,676.6,1.5
0,892.3,1.5
1,892.3,1.5
0,994.9,1.5
1,994.9,1.5
0,648.2,1.5
1,648.2,1.5
0,888.9,1.5
1,888.9,1.5
