38 //Total number of Ge cuts to make
//Ge number(0-6),centroid, sigma
0, 156.7, 1.5
1, 156.7, 1.5
0, 227.4, 1.5
1, 227.4, 1.5
0, 322.1, 1.5
1, 322.1, 1.5
0, 399.9, 1.5
1, 399.9, 1.5
0, 568.3, 1.5
1, 568.3, 1.5
0, 823.6, 1.5
1, 823.6, 1.5
0, 875.9, 1.5
1, 875.9, 1.5
0, 922.6, 1.5
1, 922.6, 1.5
0, 954.5, 1.5
1, 954.5, 1.5
0, 1013.3, 1.5
1, 1013.3, 1.5
0, 1052.2, 1.5
1, 1052.2, 1.5
0, 1119.2, 1.5
1, 1119.2, 1.5
0, 1168.2, 1.5
1, 1168.2, 1.5
0, 1180.6, 1.5
1, 1180.6, 1.5
0, 1265.1, 1.5
1, 1265.1, 1.5
0, 1325.8, 1.5
1, 1325.8, 1.5
0, 1355.9, 1.5
1, 1355.9, 1.5
0, 1479.7, 1.5
1, 1479.7, 1.5
0, 1491, 1.5
1, 1491, 1.5
