50 //Total number of Ge cuts to make
//Ge number(0-6),centroid, sigma
0,110,1.5
1,110,1.5
0,162,1.5
1,162,1.5
0,181,1.5
1,181,1.5
0,188,1.5
1,188,1.5
0,192,1.5
1,192,1.5
0,190,4
1,190,4
0,202,1.5
1,202,1.5
0,210,1.5
1,210,1.5
0,227,1.5
1,227,1.5
0,274,1.5
1,274,1.5
0,285,1.5
1,285,1.5
0,303,1.5
1,303,1.5
0,417,1.5
1,417,1.5
0,435,1.5
1,435,1.5
0,465,1.5
1,465,1.5
0,471,1.5
1,471,1.5
0,598,1.5
1,598,1.5
0,604,1.5
1,604,1.5
0,612,1.5
1,612,1.5
0,648.3,1.5
1,648.3,1.5
0,676.6,1.5
1,676.6,1.5
0,692.4,1.5
1,692.4,1.5
0,837,1.5
1,837,1.5
0,874,1.5
1,874,1.5
0,1346,1.5
1,1346,1.5
