20 //Total number of Ge cuts to make
//Ge number(0-6),centroid, sigma
0,590,1.5
1,590,1.5
0,1078,1.5
1,1078,1.5
0,736,1.5
1,736,1.5
0,913,1.5
1,913,1.5
0,455,1.5
1,455,1.5
0,656,1.5
1,656,1.5
0,972,1.5
1,972,1.5
0,1165,1.5
1,1165,1.5
0,682,1.5
1,682,1.5
0,1022,1.5
1,1022,1.5
