228 //Total number of Ge cuts to make
//Ge number(0-6),centroid, sigma
0,60,1.5
1,60,1.5
0,88,1.5
1,88,1.5
0,107,1.5
1,107,1.5
0,110,1.5
1,110,1.5
0,111.8,1.5
1,111.8,1.5
0,123,1.5
1,123,1.5
0,134.8,1.5
1,134.8,1.5
0,141,1.5
1,141,1.5
0,162,1.5
1,162,1.5
0,165,1.5
1,165,1.5
0,167,1.5
1,167,1.5
0,181,1.5
1,181,1.5
0,188,1.5
1,188,1.5
0,192,1.5
1,192,1.5
0,190,4
1,190,4
0,199,1.5
1,199,1.5
0,202,1.5
1,202,1.5
0,210,1.5
1,210,1.5
0,218,1.5
1,218,1.5
0,224,1.5
1,224,1.5
0,227,1.5
1,227,1.5
0,232.1,1.5
1,232.1,1.5
0,247.9,1.5
1,247.9,1.5
0,265,1.5
1,265,1.5
0,267.5,1.5
1,267.5,1.5
0,274,1.5
1,274,1.5
0,282,1.5
1,282,1.5
0,285,1.5
1,285,1.5
0,297,1.5
1,297,1.5
0,303,1.5
1,303,1.5
0,306,1.5
1,306,1.5
0,315.6,1.5
1,315.6,1.5
0,318.3,1.5
1,318.3,1.5
0,333,1.5
1,333,1.5
0,339,1.5
1,339,1.5
0,343.0,1.5
1,343.0,1.5
0,346.6,1.5
1,346.6,1.5
0,381,1.5
1,381,1.5
0,390.6,1.5
1,390.6,1.5
0,408,1.5
1,408,1.5
0,412,1.5
1,412,1.5
0,417,1.5
1,417,1.5
0,426.8,1.5
1,426.8,1.5
0,435,1.5
1,435,1.5
0,437.7,1.5
1,437.7,1.5
0,451,1.5
1,451,1.5
0,465,1.5
1,465,1.5
0,467,1.5
1,467,1.5
0,471,1.5
1,471,1.5
0,480,1.5
1,480,1.5
0,492,1.5
1,492,1.5
0,501,1.5
1,501,1.5
0,505,1.5
1,505,1.5
0,508,1.5
1,508,1.5
0,557.6,1.5
1,557.6,1.5
0,577,1.5
1,577,1.5
0,596,1.5
1,596,1.5
0,598,1.5
1,598,1.5
0,600,1.5
1,600,1.5
0,604,1.5
1,604,1.5
0,612,1.5
1,612,1.5
0,630,1.5
1,630,1.5
0,637,1.5
1,637,1.5
0,642,1.5
1,642,1.5
0,648.3,1.5
1,648.3,1.5
0,650,1.5
1,650,1.5
0,654,1.5
1,654,1.5
0,676.6,1.5
1,676.6,1.5
0,680.7,1.5
1,680.7,1.5
0,682,1.5
1,682,1.5
0,692.4,1.5
1,692.4,1.5
0,724,1.5
1,724,1.5
0,758.4,1.5
1,758.4,1.5
0,761.8,1.5
1,761.8,1.5
0,797,1.5
1,797,1.5
0,834,1.5
1,834,1.5
0,837,1.5
1,837,1.5
0,840,1.5
1,840,1.5
0,844,1.5
1,844,1.5
0,850.6,1.5
1,850.6,1.5
0,874,1.5
1,874,1.5
0,891,1.5
1,891,1.5
0,894,1.5
1,894,1.5
0,996,1.5
1,996,1.5
0,1004.7,1.5
1,1004.7,1.5
0,1021,1.5
1,1021,1.5
0,1043,1.5
1,1043,1.5
0,1059,1.5
1,1059,1.5
0,1083,1.5
1,1083,1.5
0,1127,1.5
1,1127,1.5
0,1140,1.5
1,1140,1.5
0,1194,1.5
1,1194,1.5
0,1213,1.5
1,1213,1.5
0,1217,1.5
1,1217,1.5
0,1229,1.5
1,1229,1.5
0,1237,1.5
1,1237,1.5
0,1303,1.5
1,1303,1.5
0,1323,1.5
1,1323,1.5
0,1339,1.5
1,1339,1.5
0,1346,1.5
1,1346,1.5
0,1370,1.5
1,1370,1.5
0,1390,1.5
1,1390,1.5
0,1421,1.5
1,1421,1.5
0,1450,1.5
1,1450,1.5
0,1488,1.5
1,1488,1.5
0,1527,1.5
1,1527,1.5
0,1589,1.5
1,1589,1.5
0,1669,1.5
1,1669,1.5
0,1713.5,1.5
1,1713.5,1.5
0,1788,1.5
1,1788,1.5
0,1810,1.5
1,1810,1.5
0,2025,1.5
1,2025,1.5
0,2648,1.5
1,2648,1.5
0,2682,1.5
1,2682,1.5
